"testnewid_lag","ccode","id","fdi","pcj","econ_devel","econ_size","econ_growth","kaopen","xr","lf","lifeexp"
2880000,41,71,-9.80000019073486,0,1182.49792480469,8407079981,-2.13246846199036,-0.768190383911133,0,68.5,55.022331237793
2882880,41,71,6.60000038146973,0,1088.68029785156,8055393763,-14.8832921981812,-0.0871519967913628,1.77660298347473,67.9000015258789,56.0974998474121
2850000,52,154,510.158874511719,0,7742.736328125,9542938026,1.93709719181061,-1.13058197498322,0,55.2000007629395,72.6148300170898
3080000,70,102,-340.6904296875,0,6894.7041015625,6.28418e+11,-7.86348295211792,1.18040800094604,1.97802770137787,59.7999992370605,74.6710357666016
3083080,70,102,6460.7998046875,0,7780.05322265625,7.30752e+11,5.23456478118896,1.18040800094604,1.12968564033508,61.2999992370605,75.2349319458008
1361360,90,67,431.380004882812,1,3061.873046875,31339424077,0.627710402011871,1.26427602767944,1.04648888111115,63.0999984741211,67.4606704711914
2200000,92,141,-7,0,2092.63452148438,9756946007,2.27924013137817,-1.13058197498322,0,61.7999992370605,60.3601684570312
2202200,92,141,263.590515136719,1,3045.38989257812,16729584566,5.8941011428833,-1.13058197498322,0,60.9000015258789,70.8326644897461
2400000,93,116,2.70000004768372,0,1301.89379882812,4239808540,1.63773238658905,-1.27104902267456,1.21649479866028,58.5999984741211,59.9410018920898
2402400,93,116,336.629974365234,1,1349.56188964844,5588425124,-2.31325745582581,-1.13058197498322,88.4955902099609,61.5999984741211,65.5565032958984
2740000,95,123,620.099975585938,0,4393.8212890625,10593099426,5.91379404067993,2.53183603286743,0,59.2999992370605,74.6371688842773
1801800,101,164,410,0,8170.732421875,1.72574e+11,-1.91803216934204,-1.13058197498322,1.45098328590393,59.7000007629395,74.5500030517578
1951950,135,124,4532.86328125,1,4877.74365234375,1.26842e+11,1.3830806016922,2.53183603286743,1.1055965423584,65.1999969482422,71.8795013427734
1222440,150,130,17.5999984741211,0,2908.49877929688,12270258418,0.0493431091308594,-1.13058197498322,1.53131067752838,67.5,69.9261627197266
2250000,155,30,132.690002441406,0,2565.09008789062,28662757671,0.844499349594116,-1.81162095069885,12.8210353851318,50.2999992370605,66.2031631469727
1503000,160,5,-269,0,4820.0244140625,1.35411e+11,-5.91483354568481,-0.0871519967913628,2.90510940551758,58.2999992370605,71.6471710205078
2230000,165,161,-15.0900001525879,0,3732.03955078125,10873700143,0.253904402256012,-1.81162095069885,2.20113611221313,60.2000007629395,72.1439971923828
3260000,343,103,241.863830566406,1,6039.4384765625,12209135317,0.571269571781158,0.136977404356003,0.960867643356323,53.2999992370605,75.2488327026367
2972970,344,70,1277.2900390625,1,9049.74609375,40633361009,10.0787076950073,-0.0871519967913628,0.967899858951569,55,76.2574996948242
2960000,346,18,609.809997558594,1,2587.80102539062,8554395622,90.4702224731445,0.723704993724823,1.37851810455322,63,73.959831237793
3010000,359,99,70.0500030517578,0,1781.71520996094,7794959428,-1.10126721858978,-0.860296607017517,2.06789779663086,65.4000015258789,70.8773345947266
2770000,360,132,1040.98999023438,0,5200.6796875,1.20692e+11,-5.82372856140137,-1.13058197498322,1.53652274608612,66.3000030517578,72.6300048828125
2830000,365,133,1418,0,7814.9248046875,1.16199e+12,-14.5684366226196,-0.0871519967913628,183.857620239258,64.5,73.8583297729492
3090000,365,133,24836.787109375,1,6517.609375,9.6007e+11,1.69944202899933,-0.0871519967913628,1.1952155828476,60.7000007629395,72.2683334350586
2870000,372,60,326.648986816406,1,1264.51928710938,6482238098,-8.5791015625,0.947834372520447,2.33271646499634,63.2999992370605,74.2646636962891
3190000,404,64,6.29772901535034,0,566.332946777344,738363980.1,5.07891368865967,-0.860296607017517,1.18106544017792,71.4000015258789,46.7389984130859
2500000,420,63,9.9255313873291,0,618.825378417969,408408641.5,-4.11436080932617,-1.81162095069885,1.23385381698608,78.8000030517578,47.5388336181641
